epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,125.975,0.99967,0.51182,0.8793,0.62807,0.61317,0.54707,0.37239,1.10757,0.53043,0.85926,0.0005941,0.0005941,0.0005941
43,128.943,0.95197,0.52147,0.8555,0.61522,0.59194,0.53476,0.38386,1.03348,0.49271,0.83917,0.0005842,0.0005842,0.0005842
44,132.093,0.93983,0.50088,0.86762,0.60157,0.56296,0.52377,0.38733,0.99939,0.47859,0.82688,0.0005743,0.0005743,0.0005743
45,135.102,0.94191,0.50951,0.86559,0.61231,0.58644,0.54179,0.39773,0.93055,0.44363,0.81824,0.0005644,0.0005644,0.0005644
46,138.195,0.90386,0.48089,0.84678,0.60322,0.60567,0.54537,0.39432,0.9503,0.45692,0.82281,0.0005545,0.0005545,0.0005545
47,141.217,0.92241,0.48801,0.84073,0.63533,0.6362,0.56061,0.37716,1.08314,0.55462,0.84453,0.0005446,0.0005446,0.0005446
48,144.198,0.93262,0.50699,0.8654,0.64276,0.65512,0.57212,0.4079,0.93335,0.47374,0.81479,0.0005347,0.0005347,0.0005347
49,147.155,0.96478,0.51568,0.86396,0.64244,0.61391,0.56872,0.36526,1.14769,0.49911,0.85397,0.0005248,0.0005248,0.0005248
50,150.202,0.92989,0.48008,0.85836,0.69816,0.59128,0.58147,0.4137,0.83352,0.4316,0.80321,0.0005149,0.0005149,0.0005149
51,153.267,0.94516,0.51087,0.85052,0.74166,0.59743,0.59539,0.37472,1.08665,0.49055,0.85838,0.000505,0.000505,0.000505
52,156.268,0.95693,0.51294,0.86841,0.70295,0.60293,0.58621,0.40077,0.9268,0.45371,0.81817,0.0004951,0.0004951,0.0004951
53,159.579,0.95667,0.49764,0.85089,0.67742,0.59743,0.56527,0.4162,0.78986,0.4087,0.79106,0.0004852,0.0004852,0.0004852
54,162.591,0.95109,0.49242,0.8504,0.69846,0.60293,0.56545,0.40568,0.8962,0.43515,0.80679,0.0004753,0.0004753,0.0004753
55,165.616,0.96247,0.47603,0.86307,0.6945,0.62765,0.58848,0.42805,0.77513,0.41382,0.7926,0.0004654,0.0004654,0.0004654
56,168.631,0.90927,0.46458,0.86543,0.69114,0.63314,0.60196,0.41706,0.85684,0.43167,0.80501,0.0004555,0.0004555,0.0004555
57,171.689,0.95492,0.49327,0.8521,0.68997,0.62216,0.60182,0.41612,0.86979,0.42516,0.80635,0.0004456,0.0004456,0.0004456
58,174.794,0.92022,0.47111,0.84593,0.66856,0.64139,0.60455,0.42766,0.79488,0.40112,0.7916,0.0004357,0.0004357,0.0004357
59,177.749,0.94363,0.46871,0.85704,0.64709,0.64139,0.59264,0.41923,0.84902,0.41045,0.80443,0.0004258,0.0004258,0.0004258
60,180.841,0.93011,0.47236,0.84598,0.63996,0.64413,0.59525,0.4273,0.7892,0.3871,0.79294,0.0004159,0.0004159,0.0004159
61,184.385,0.84929,0.43798,0.85253,0.61009,0.62216,0.55557,0.41577,0.81072,0.3997,0.79671,0.000406,0.000406,0.000406
62,187.822,0.83708,0.44069,0.84796,0.6157,0.58421,0.55393,0.41156,0.83656,0.40265,0.80026,0.0003961,0.0003961,0.0003961
63,191.043,0.92486,0.48637,0.85422,0.69736,0.60018,0.57114,0.42883,0.75248,0.39592,0.78871,0.0003862,0.0003862,0.0003862
64,194.393,0.86456,0.44777,0.85156,0.71413,0.61941,0.6046,0.4122,0.89813,0.42624,0.81003,0.0003763,0.0003763,0.0003763
65,197.793,0.84721,0.4384,0.83041,0.7191,0.6235,0.62016,0.43959,0.75345,0.38576,0.78884,0.0003664,0.0003664,0.0003664
66,201.074,0.89084,0.44536,0.84268,0.70188,0.64413,0.62929,0.44358,0.74536,0.38356,0.78767,0.0003565,0.0003565,0.0003565
67,204.404,0.85357,0.44317,0.83556,0.70266,0.65238,0.62765,0.4166,0.91175,0.41904,0.81762,0.0003466,0.0003466,0.0003466
68,207.802,0.86596,0.43447,0.83606,0.69101,0.64139,0.63127,0.44157,0.7683,0.38091,0.79271,0.0003367,0.0003367,0.0003367
69,211.004,0.91243,0.46334,0.84426,0.66465,0.67435,0.64743,0.44473,0.75279,0.37666,0.7895,0.0003268,0.0003268,0.0003268
70,214.228,0.85998,0.44088,0.84738,0.67695,0.66062,0.63406,0.42534,0.88821,0.40613,0.8102,0.0003169,0.0003169,0.0003169
71,217.612,0.8737,0.45353,0.83573,0.69253,0.65238,0.62969,0.43753,0.79113,0.3859,0.79462,0.000307,0.000307,0.000307
72,220.77,0.83998,0.43904,0.83669,0.69193,0.66989,0.60892,0.43118,0.80391,0.38421,0.79727,0.0002971,0.0002971,0.0002971
73,224.014,0.81339,0.41371,0.83514,0.67857,0.65787,0.59673,0.41923,0.85487,0.40026,0.80494,0.0002872,0.0002872,0.0002872
74,227.286,0.85317,0.44083,0.83418,0.66327,0.67161,0.60472,0.43582,0.74252,0.37439,0.78684,0.0002773,0.0002773,0.0002773
75,230.608,0.82587,0.42274,0.84057,0.69003,0.65943,0.6202,0.43906,0.76121,0.37863,0.78982,0.0002674,0.0002674,0.0002674
76,233.846,0.81446,0.4209,0.83904,0.72303,0.65787,0.64034,0.44815,0.74052,0.36921,0.78806,0.0002575,0.0002575,0.0002575
77,237.261,0.84754,0.42136,0.8375,0.66973,0.65238,0.62018,0.45273,0.70301,0.3618,0.78258,0.0002476,0.0002476,0.0002476
78,240.521,0.81538,0.41521,0.82742,0.68908,0.67161,0.63622,0.4435,0.76676,0.38274,0.79005,0.0002377,0.0002377,0.0002377
79,243.812,0.83343,0.42212,0.83888,0.70151,0.66551,0.64948,0.44764,0.77395,0.3806,0.79228,0.0002278,0.0002278,0.0002278
80,247.24,0.8173,0.42107,0.82953,0.72971,0.64139,0.65978,0.45394,0.75962,0.37408,0.79006,0.0002179,0.0002179,0.0002179
81,250.825,0.80793,0.42051,0.83393,0.73989,0.64688,0.66699,0.44611,0.7949,0.38156,0.79529,0.000208,0.000208,0.000208
